Data,Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM2.5 [jednostka ug/m3]),Katowice - ul. Kossutha (pył zawieszony PM10 [jednostka ug/m3])
2024-09-09,35.27,25.44,11.90,24.35,
2024-09-10,23.33,8.11,4.70,15.42,
2024-09-11,25.04,15.03,12.70,15.75,
2024-09-12,22.49,15.26,13.20,17.99,
2024-09-13,16.30,10.21,9.00,11.05,
2024-09-14,9.95,8.58,7.50,6.44,
2024-09-15,7.05,8.88,6.80,4.24,
2024-09-16,31.82,11.83,9.70,30.93,
2024-09-17,51.75,37.89,17.10,57.11,
2024-09-18,41.42,27.94,16.10,46.54,
2024-09-19,40.35,25.79,15.50,40.64,
2024-09-20,40.83,21.93,14.10,41.37,
2024-09-21,32.54,23.94,14.00,32.12,
2024-09-22,34.66,18.99,13.90,34.57,
2024-09-23,32.64,17.51,9.70,33.41,
2024-09-24,33.87,21.72,15.20,27.74,
2024-09-25,22.71,10.91,10.00,10.47,
2024-09-26,34.98,7.70,5.60,9.72,
2024-09-27,20.30,10.84,5.20,4.33,
2024-09-28,15.46,11.32,5.80,3.45,
2024-09-29,14.02,15.67,8.60,4.84,
2024-09-30,25.23,14.45,8.90,8.12,
2024-10-01,28.75,17.87,11.10,14.63,
2024-10-02,36.69,15.14,8.90,20.36,
2024-10-03,23.13,12.53,8.00,21.10,
2024-10-04,22.76,7.77,5.20,22.52,
2024-10-05,13.10,9.08,6.70,9.64,
2024-10-06,18.92,9.00,6.60,15.36,
2024-10-07,32.08,14.91,9.00,14.67,
2024-10-08,37.56,14.97,7.20,15.48,
2024-10-09,44.70,7.78,4.90,9.00,
2024-10-10,24.90,11.21,6.10,8.91,
2024-10-11,20.86,12.33,8.20,9.80,
2024-10-12,29.09,22.68,14.50,10.96,
2024-10-13,22.81,15.03,10.90,10.80,
2024-10-14,22.45,15.68,9.80,7.88,
2024-10-15,36.16,18.99,12.50,25.11,
2024-10-16,36.75,24.27,16.20,26.27,
2024-10-17,28.27,30.20,19.80,18.53,
2024-10-18,35.59,31.15,21.20,22.74,
2024-10-19,34.50,29.37,17.40,30.94,
2024-10-20,37.54,24.57,16.30,36.11,
2024-10-21,45.71,28.51,18.70,26.68,
2024-10-22,50.06,31.93,19.90,30.27,
2024-10-23,34.10,23.51,15.00,17.32,
2024-10-24,43.62,24.43,16.80,31.32,
2024-10-25,55.09,29.92,17.70,40.70,
